"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
57,6,"ASM","American Samoa",4,"Western",13,"Lealataua",57,"Poloa",NA,"","Village","Village","",""
58,6,"ASM","American Samoa",4,"Western",13,"Lealataua",58,"Se'etaga",NA,"","Village","Village","",""
59,6,"ASM","American Samoa",4,"Western",13,"Lealataua",59,"Utumea West",NA,"","Village","Village","",""
60,6,"ASM","American Samoa",4,"Western",14,"Leasina",60,"Aasu",NA,"","Village","Village","",""
61,6,"ASM","American Samoa",4,"Western",14,"Leasina",61,"Aoloau",NA,"","Village","Village","",""
62,6,"ASM","American Samoa",4,"Western",14,"Leasina",62,"Malaeloa/Aitulagi",NA,"","Village","Village","",""
63,6,"ASM","American Samoa",4,"Western",15,"Tualatai",63,"Futiga",NA,"","Village","Village","",""
64,6,"ASM","American Samoa",4,"Western",15,"Tualatai",64,"Malaeloa/Ituau",NA,"","Village","Village","",""
65,6,"ASM","American Samoa",4,"Western",15,"Tualatai",65,"Taputimu",NA,"","Village","Village","",""
66,6,"ASM","American Samoa",4,"Western",15,"Tualatai",66,"Vailoatai",NA,"","Village","Village","",""
67,6,"ASM","American Samoa",4,"Western",16,"Tualauta",67,"Faleniu",NA,"","Village","Village","",""
68,6,"ASM","American Samoa",4,"Western",16,"Tualauta",68,"Ili'ili",NA,"","Village","Village","",""
69,6,"ASM","American Samoa",4,"Western",16,"Tualauta",69,"Malaeimi",NA,"","Village","Village","",""
70,6,"ASM","American Samoa",4,"Western",16,"Tualauta",70,"Mapusagafou",NA,"","Village","Village","",""
71,6,"ASM","American Samoa",4,"Western",16,"Tualauta",71,"Mesepa",NA,"","Village","Village","",""
72,6,"ASM","American Samoa",4,"Western",16,"Tualauta",72,"Pava'ia'i",NA,"","Village","Village","",""
73,6,"ASM","American Samoa",4,"Western",16,"Tualauta",73,"Tafuna",NA,"","Village","Village","",""
74,6,"ASM","American Samoa",4,"Western",16,"Tualauta",74,"Vaitogi",NA,"","Village","Village","",""
